Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL
2026-05-03 17:00:00,30.0,30.73333333,,32.66666667,28.86666667,33.8,78.4,29.8
2026-05-03 17:15:00,29.2,28.53333333,,31.6,29.46666667,28.33333333,39.06666667,27.26666667
2026-05-03 17:30:00,30.33333333,28.0,,29.4,29.0,28.26666667,32.0,27.4
2026-05-03 17:45:00,33.0,28.6,,29.73333333,30.33333333,30.93333333,25.66666667,28.66666667
2026-05-03 18:00:00,28.8,29.66666667,,29.6,29.86666667,28.66666667,137.6,28.0
2026-05-03 18:15:00,30.0,30.86666667,,28.93333333,28.8,27.33333333,65.06666667,28.4
2026-05-03 18:30:00,29.33333333,32.53333333,,28.6,36.86666667,28.13333333,35.66666667,31.93333333
2026-05-03 18:45:00,28.86666667,33.06666667,,28.8,47.66666667,29.33333333,404.86666667,32.06666667
2026-05-03 19:00:00,28.6,33.06666667,,30.0,41.06666667,31.46666667,78.4,27.6
2026-05-03 19:15:00,30.06666667,31.53333333,,36.26666667,40.33333333,31.26666667,24.13333333,32.53333333
2026-05-03 19:30:00,28.0,33.13333333,25.57142857,48.4,43.46666667,30.66666667,21.4,29.8
2026-05-03 19:45:00,28.0,30.26666667,28.13333333,34.53333333,34.0,30.33333333,20.8,28.73333333
2026-05-03 20:00:00,29.2,33.33333333,27.2,30.53333333,33.73333333,31.6,22.93333333,29.2
2026-05-03 20:15:00,27.66666667,32.8,27.2,36.66666667,35.26666667,31.26666667,21.8,31.2
2026-05-03 20:30:00,27.4,32.8,28.33333333,34.93333333,35.46666667,28.2,22.2,37.2
2026-05-03 20:45:00,26.53333333,35.13333333,28.8,34.86666667,41.73333333,31.0,23.13333333,30.53333333
2026-05-03 21:00:00,29.2,32.13333333,30.33333333,30.06666667,39.13333333,27.2,22.86666667,27.73333333
2026-05-03 21:15:00,29.93333333,29.86666667,32.8,31.46666667,39.13333333,30.0,24.8,25.6
2026-05-03 21:30:00,34.73333333,31.8,31.53333333,34.33333333,37.86666667,29.13333333,58.53333333,27.6
2026-05-03 21:45:00,31.6,48.26666667,31.73333333,30.6,39.06666667,30.26666667,62.6,28.2
2026-05-03 22:00:00,31.4,54.46666667,29.4,32.93333333,40.6,31.73333333,54.93333333,27.4
2026-05-03 22:15:00,32.06666667,55.86666667,29.4,29.0,41.26666667,34.0,49.13333333,28.53333333
2026-05-03 22:30:00,30.06666667,51.0,30.26666667,29.53333333,47.0,40.33333333,44.06666667,28.26666667
2026-05-03 22:45:00,28.13333333,47.86666667,30.13333333,26.93333333,43.66666667,38.4,40.8,26.6
2026-05-03 23:00:00,28.8,40.6,28.73333333,28.6,56.26666667,34.73333333,39.06666667,25.8
2026-05-03 23:15:00,27.73333333,43.93333333,28.26666667,27.33333333,47.53333333,33.26666667,34.2,25.6
2026-05-03 23:30:00,30.73333333,39.0,29.8,27.53333333,47.6,32.13333333,36.46666667,28.2
2026-05-03 23:45:00,30.73333333,40.4,28.73333333,27.66666667,42.0,30.53333333,36.0,27.86666667
2026-05-04 00:00:00,31.86666667,38.4,29.93333333,27.26666667,35.73333333,29.26666667,35.06666667,27.66666667
2026-05-04 00:15:00,29.26666667,37.46666667,29.13333333,28.06666667,36.46666667,29.6,32.73333333,27.26666667
2026-05-04 00:30:00,33.6,42.93333333,27.73333333,28.26666667,40.13333333,28.6,38.93333333,28.46666667
2026-05-04 00:45:00,31.4,43.73333333,29.46666667,30.2,36.53333333,29.2,34.2,27.8
2026-05-04 01:00:00,29.26666667,43.13333333,30.13333333,30.26666667,32.93333333,29.73333333,35.33333333,29.6
2026-05-04 01:15:00,29.26666667,42.6,30.4,30.2,33.13333333,28.86666667,32.33333333,28.86666667
2026-05-04 01:30:00,30.86666667,42.33333333,31.8,30.6,33.2,31.4,34.2,28.53333333
2026-05-04 01:45:00,31.2,39.6,31.8,28.73333333,45.73333333,30.53333333,34.33333333,26.66666667
2026-05-04 02:00:00,28.33333333,38.33333333,31.13333333,31.0,40.93333333,29.93333333,32.66666667,25.93333333
2026-05-04 02:15:00,32.4,33.33333333,29.13333333,29.86666667,38.53333333,31.86666667,29.26666667,28.86666667
2026-05-04 02:30:00,31.33333333,30.73333333,29.66666667,29.86666667,40.93333333,29.46666667,27.13333333,30.53333333
2026-05-04 02:45:00,33.26666667,31.73333333,29.4,27.6,40.86666667,31.53333333,28.86666667,29.0
2026-05-04 03:00:00,31.66666667,29.2,31.66666667,29.2,45.0,30.33333333,38.13333333,31.33333333
2026-05-04 03:15:00,29.06666667,28.2,31.13333333,29.6,45.06666667,31.93333333,35.33333333,29.86666667
2026-05-04 03:30:00,29.33333333,28.86666667,31.33333333,28.33333333,64.86666667,35.0,33.33333333,29.06666667
2026-05-04 03:45:00,28.8,33.93333333,31.6,29.93333333,43.26666667,35.13333333,35.0,28.86666667
2026-05-04 04:00:00,29.06666667,42.46666667,32.33333333,32.4,40.93333333,35.8,33.73333333,30.86666667
2026-05-04 04:15:00,30.73333333,42.73333333,32.53333333,31.66666667,43.33333333,35.13333333,37.53333333,31.26666667
2026-05-04 04:30:00,28.86666667,39.53333333,32.6,34.4,44.6,36.13333333,26.86666667,28.73333333
2026-05-04 04:45:00,31.13333333,42.2,33.6,36.53333333,43.73333333,36.66666667,27.4,28.06666667
2026-05-04 05:00:00,28.6,45.06666667,34.26666667,35.8,46.26666667,34.33333333,28.26666667,26.86666667
2026-05-04 05:15:00,30.26666667,37.46666667,37.13333333,31.26666667,54.0,36.93333333,28.4,29.66666667
2026-05-04 05:30:00,30.8,34.6,33.8,32.13333333,51.06666667,34.73333333,29.73333333,31.33333333
2026-05-04 05:45:00,31.4,36.06666667,35.13333333,32.26666667,53.86666667,35.86666667,30.53333333,30.26666667
2026-05-04 06:00:00,37.33333333,33.4,36.93333333,32.6,56.2,33.73333333,29.2,31.13333333
2026-05-04 06:15:00,36.66666667,47.4,36.93333333,32.93333333,62.86666667,36.13333333,29.26666667,35.53333333
2026-05-04 06:30:00,41.8,47.0,39.73333333,32.33333333,74.33333333,33.8,32.13333333,39.06666667
2026-05-04 06:45:00,44.33333333,34.66666667,41.0,39.2,80.33333333,37.93333333,30.53333333,37.73333333
2026-05-04 07:00:00,31.86666667,37.26666667,43.2,44.46666667,94.8,39.93333333,54.46666667,89.4
2026-05-04 07:15:00,32.66666667,34.86666667,41.53333333,55.33333333,82.13333333,42.0,81.53333333,46.26666667
2026-05-04 07:30:00,35.13333333,31.6,41.26666667,51.26666667,85.4,40.26666667,27.13333333,36.4
2026-05-04 07:45:00,36.8,35.06666667,38.2,42.93333333,106.46666667,39.86666667,27.26666667,37.46666667
2026-05-04 08:00:00,37.86666667,34.4,35.0,42.0,125.86666667,40.73333333,29.26666667,39.0
2026-05-04 08:15:00,45.26666667,38.6,34.73333333,36.66666667,80.2,39.86666667,27.86666667,34.93333333
2026-05-04 08:30:00,53.66666667,40.13333333,33.33333333,38.73333333,63.53333333,39.8,94.66666667,35.26666667
2026-05-04 08:45:00,42.8,41.93333333,35.46666667,51.6,56.93333333,38.33333333,29.33333333,38.33333333
2026-05-04 09:00:00,39.66666667,40.33333333,32.86666667,48.4,54.53333333,40.2,38.4,37.33333333
2026-05-04 09:15:00,35.2,36.26666667,34.73333333,63.46666667,65.13333333,39.53333333,52.13333333,40.6
2026-05-04 09:30:00,40.6,35.13333333,38.0,48.2,72.46666667,38.4,27.53333333,40.53333333
2026-05-04 09:45:00,38.6,35.26666667,37.13333333,46.73333333,82.06666667,39.26666667,60.46666667,44.0
2026-05-04 10:00:00,44.26666667,38.13333333,36.26666667,56.6,51.26666667,39.33333333,27.46666667,42.86666667
