Date/Time,5388_O_OHRA,9991_O_ALTO,5635_O_SEWY,8445_O_LNPL,9063_O_COLS,1400_O_MCCA,4749_O_JEFF,9267_O_SQHL,3050_O_OHCO,1266_O_WLKG
2026-05-03 10:45:00,330.13333333,385.4,,433.53333333,807.86666667,301.6,1848.0,389.2,,
2026-05-03 11:00:00,302.26666667,373.53333333,,423.53333333,682.8,277.26666667,535.73333333,334.6,,
2026-05-03 11:15:00,333.86666667,356.73333333,,414.13333333,582.6,274.33333333,4528.2,343.86666667,,
2026-05-03 11:30:00,301.86666667,354.06666667,,453.2,571.13333333,273.13333333,1470.33333333,323.53333333,,
2026-05-03 11:45:00,295.66666667,374.26666667,,445.66666667,547.4,265.46666667,577.53333333,326.4,,
2026-05-03 12:00:00,288.33333333,336.2,,452.0,497.4,252.46666667,505.86666667,493.26666667,,
2026-05-03 12:15:00,295.26666667,322.86666667,,433.0,405.8,260.66666667,406.6,369.8,,
2026-05-03 12:30:00,298.53333333,327.4,,522.33333333,388.73333333,306.86666667,334.46666667,379.66666667,,
2026-05-03 12:45:00,322.4,294.53333333,,494.53333333,389.33333333,299.26666667,2795.06666667,334.66666667,,
2026-05-03 13:00:00,318.46666667,285.33333333,,455.8,370.4,320.86666667,641.6,342.4,,
2026-05-03 13:15:00,333.13333333,277.06666667,,453.4,385.0,363.46666667,497.86666667,364.13333333,,
2026-05-03 13:30:00,353.0,279.66666667,,479.4,351.0,347.2,524.53333333,376.73333333,,
2026-05-03 13:45:00,365.46666667,283.13333333,,516.13333333,355.06666667,349.8,375.06666667,369.8,,
2026-05-03 14:00:00,370.8,293.46666667,,513.86666667,340.26666667,357.6,371.06666667,397.13333333,,
2026-05-03 14:15:00,362.26666667,299.13333333,,522.2,357.66666667,363.6,543.8,402.06666667,,
2026-05-03 14:30:00,9444.46666667,301.6,,502.73333333,396.33333333,384.93333333,1581.8,400.33333333,,
2026-05-03 14:45:00,1890.8,297.0,,472.33333333,331.0,412.93333333,3285.6,380.26666667,,
2026-05-03 15:00:00,372.46666667,302.73333333,,441.86666667,315.8,438.0,3427.93333333,376.33333333,,
2026-05-03 15:15:00,373.8,304.26666667,,479.0,328.8,412.93333333,1132.4,378.26666667,,
2026-05-03 15:30:00,368.33333333,309.4,,466.6,337.13333333,407.86666667,532.93333333,367.33333333,,
2026-05-03 15:45:00,383.26666667,319.46666667,,482.6,362.46666667,381.73333333,433.66666667,406.73333333,,
2026-05-03 16:00:00,372.73333333,310.46666667,,467.2,392.86666667,726.13333333,1381.4,397.2,,
2026-05-03 16:15:00,382.13333333,329.6,,475.93333333,377.86666667,425.13333333,2531.33333333,366.93333333,,
2026-05-03 16:30:00,364.93333333,380.46666667,,475.73333333,409.2,396.2,2957.86666667,367.86666667,,
2026-05-03 16:45:00,344.86666667,322.86666667,,450.73333333,384.2,1158.66666667,3394.0,366.2,,
2026-05-03 17:00:00,336.8,335.53333333,,469.06666667,418.6,385.46666667,3585.8,342.53333333,,
2026-05-03 17:15:00,329.0,332.93333333,,423.6,424.6,301.8,1156.33333333,330.53333333,,
2026-05-03 17:30:00,702.13333333,320.06666667,,390.46666667,423.2,305.73333333,1332.93333333,319.06666667,,
2026-05-03 17:45:00,406.86666667,328.86666667,,343.6,425.06666667,321.53333333,415.6,330.33333333,,
2026-05-03 18:00:00,318.66666667,328.93333333,,402.73333333,402.33333333,296.66666667,4078.53333333,349.2,,
2026-05-03 18:15:00,307.2,339.53333333,,412.93333333,362.73333333,298.33333333,469.4,306.8,,
2026-05-03 18:30:00,301.46666667,358.86666667,,363.26666667,396.6,344.26666667,365.2,347.66666667,,
2026-05-03 18:45:00,311.33333333,377.33333333,,293.13333333,411.4,319.93333333,1440.86666667,334.93333333,,
2026-05-03 19:00:00,319.0,381.2,,295.33333333,432.13333333,323.2,3559.6,316.8,,
2026-05-03 19:15:00,317.33333333,378.53333333,,352.0,402.6,308.26666667,367.73333333,324.53333333,,
2026-05-03 19:30:00,313.46666667,379.2,264.42857143,727.53333333,499.6,314.06666667,286.06666667,326.2,,
2026-05-03 19:45:00,311.73333333,380.46666667,276.93333333,532.13333333,506.86666667,317.53333333,279.53333333,340.73333333,,
2026-05-03 20:00:00,397.13333333,514.73333333,282.8,386.06666667,529.2,312.33333333,283.93333333,327.8,,
2026-05-03 20:15:00,496.06666667,533.13333333,284.26666667,359.13333333,540.06666667,304.26666667,285.2,355.2,,
2026-05-03 20:30:00,467.6,473.0,288.6,377.73333333,515.2,309.13333333,302.4,367.4,,
2026-05-03 20:45:00,483.73333333,479.86666667,319.93333333,507.66666667,606.2,324.8,321.46666667,342.86666667,,
2026-05-03 21:00:00,472.06666667,500.06666667,356.46666667,418.53333333,580.13333333,330.26666667,354.2,345.26666667,,
2026-05-03 21:15:00,458.26666667,432.86666667,373.93333333,561.86666667,536.13333333,367.2,362.0,376.4,,
2026-05-03 21:30:00,454.33333333,428.33333333,394.4,487.93333333,566.73333333,377.73333333,2743.53333333,417.2,,
2026-05-03 21:45:00,548.93333333,1282.46666667,381.33333333,451.2,633.2,415.53333333,3287.93333333,447.4,,
2026-05-03 22:00:00,523.33333333,1697.13333333,391.93333333,625.73333333,709.4,497.33333333,2902.66666667,469.53333333,,
2026-05-03 22:15:00,547.13333333,1466.6,396.06666667,520.8,753.33333333,562.2,1850.53333333,506.06666667,,
2026-05-03 22:30:00,530.73333333,1192.06666667,376.8,455.86666667,915.26666667,693.06666667,1367.6,494.73333333,,
2026-05-03 22:45:00,522.66666667,1183.66666667,383.06666667,374.73333333,927.86666667,617.53333333,1188.6,462.46666667,,
2026-05-03 23:00:00,515.33333333,833.0,396.6,390.73333333,847.2,673.86666667,961.46666667,431.73333333,,
2026-05-03 23:15:00,514.13333333,729.53333333,406.93333333,411.2,773.8,635.73333333,725.8,402.26666667,,
2026-05-03 23:30:00,559.93333333,684.06666667,432.8,366.6,717.66666667,594.86666667,717.73333333,389.66666667,,
2026-05-03 23:45:00,567.8,666.93333333,432.86666667,368.0,640.06666667,531.93333333,703.06666667,364.13333333,,
2026-05-04 00:00:00,587.93333333,730.26666667,479.93333333,362.0,514.86666667,482.66666667,689.46666667,366.8,,
2026-05-04 00:15:00,559.26666667,693.0,467.33333333,360.73333333,508.0,463.0,753.86666667,357.4,,
2026-05-04 00:30:00,755.06666667,838.46666667,416.46666667,354.66666667,505.6,438.6,1034.93333333,355.13333333,,
2026-05-04 00:45:00,526.93333333,844.86666667,425.93333333,361.33333333,480.13333333,437.66666667,708.26666667,371.6,,
2026-05-04 01:00:00,509.0,803.6,476.4,359.86666667,446.8,447.66666667,678.73333333,383.93333333,,
2026-05-04 01:15:00,486.13333333,785.06666667,540.0,349.33333333,445.53333333,467.33333333,705.33333333,374.6,,
2026-05-04 01:30:00,458.8,824.8,497.93333333,345.26666667,433.06666667,484.2,734.73333333,360.6,,
2026-05-04 01:45:00,432.8,754.33333333,457.13333333,347.86666667,449.86666667,467.13333333,731.93333333,357.13333333,,
2026-05-04 02:00:00,397.4,705.33333333,448.06666667,356.66666667,455.13333333,473.26666667,613.66666667,354.06666667,,
2026-05-04 02:15:00,422.4,653.8,442.06666667,344.53333333,469.33333333,513.33333333,526.4,349.0,,
2026-05-04 02:30:00,459.2,622.13333333,446.66666667,342.53333333,465.13333333,461.4,420.0,348.8,,
2026-05-04 02:45:00,612.06666667,624.53333333,442.33333333,331.13333333,452.13333333,437.4,408.86666667,358.4,,
2026-05-04 03:00:00,418.4,608.06666667,428.33333333,349.93333333,463.8,428.33333333,863.8,384.53333333,,
2026-05-04 03:15:00,419.73333333,597.13333333,421.33333333,376.13333333,468.73333333,427.8,763.26666667,411.6,,
2026-05-04 03:30:00,432.06666667,606.26666667,419.93333333,414.86666667,552.93333333,444.73333333,787.33333333,411.06666667,,
2026-05-04 03:45:00,412.73333333,659.8,428.53333333,447.13333333,460.26666667,450.06666667,952.46666667,407.33333333,,
2026-05-04 04:00:00,404.0,701.73333333,432.4,440.73333333,459.06666667,439.6,791.4,425.73333333,,
2026-05-04 04:15:00,429.46666667,705.06666667,452.93333333,440.73333333,474.6,428.13333333,948.4,448.2,,
2026-05-04 04:30:00,445.53333333,676.53333333,462.53333333,453.8,478.0,411.53333333,368.26666667,398.46666667,,
2026-05-04 04:45:00,435.2,675.2,459.53333333,482.93333333,480.6,416.73333333,375.4,393.06666667,,
2026-05-04 05:00:00,418.33333333,715.46666667,454.73333333,478.46666667,522.86666667,425.06666667,377.8,383.53333333,,
